ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
14235030,JK300686,06/16/2026 02:57:00 AM,028XX S ARCHER AVE,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,false,false,913,9,11,60,06,1168565,1885797,2026,06/24/2026 03:47:18 PM,41.842154317,-87.656908694,"(41.842154317, -87.656908694)"
14229653,JK294261,06/11/2026 09:30:00 AM,064XX N SHERIDAN RD,0460,BATTERY,SIMPLE,CHA APARTMENT,false,false,2432,24,49,1,08B,1167121,1942715,2026,06/19/2026 03:43:57 PM,41.998371665,-87.660569111,"(41.998371665, -87.660569111)"
14211626,JK272225,05/27/2026 10:00:00 AM,016XX W LE MOYNE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1433,14,1,24,07,1165121,1910165,2026,06/04/2026 03:42:26 PM,41.909095874,-87.668854841,"(41.909095874, -87.668854841)"
14199522,JK257522,05/16/2026 11:45:00 PM,063XX W 64TH PL,0460,BATTERY,SIMPLE,RESIDENCE - PORCH / HALLWAY,false,false,812,8,13,64,08B,1135366,1861080,2026,05/24/2026 03:42:13 PM,41.774979523,-87.779325571,"(41.774979523, -87.779325571)"
14189688,JK245495,05/06/2026 05:00:00 PM,066XX S PERRY AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,false,false,722,7,6,69,06,1176542,1860879,2026,05/14/2026 03:42:45 PM,41.773600901,-87.628385732,"(41.773600901, -87.628385732)"
14181707,JK235553,04/28/2026 01:00:00 PM,001XX W MAPLE ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,1824,18,27,8,08B,1174883,1907592,2026,05/06/2026 03:42:09 PM,41.901822321,-87.633071176,"(41.901822321, -87.633071176)"
14169861,JK221253,04/17/2026 11:20:00 AM,033XX N MARSHFIELD AVE,0810,THEFT,OVER $500,SIDEWALK,false,false,1922,19,32,6,06,1164729,1922247,2026,04/25/2026 03:43:40 PM,41.942257928,-87.669951491,"(41.942257928, -87.669951491)"
14169049,JK220201,04/16/2026 04:25:00 PM,060XX S PEORIA ST,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,false,false,712,7,16,68,08B,1171341,1864917,2026,04/24/2026 03:43:05 PM,41.784797052,-87.647333315,"(41.784797052, -87.647333315)"
14156351,JK203970,04/02/2026 11:30:00 AM,033XX W IRVING PARK RD,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,,false,false,1724,17,33,16,11,1153593,1926401,2026,04/10/2026 03:42:37 PM,41.95388599,-87.710770479,"(41.95388599, -87.710770479)"
14149575,JK196541,03/27/2026 07:57:00 PM,015XX E 62ND ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,314,3,5,42,08B,1187349,1864355,2026,04/04/2026 03:58:05 PM,41.782889416,-87.588659779,"(41.782889416, -87.588659779)"
14148832,JK195701,03/27/2026 06:00:00 AM,029XX W LOGAN BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1411,14,1,22,14,1156395,1917148,2026,04/04/2026 03:58:05 PM,41.928438804,-87.700720996,"(41.928438804, -87.700720996)"
14143608,JK188985,03/09/2026 01:00:00 PM,040XX W 115TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,2211,22,19,74,06,1151295,1828012,2026,03/24/2026 03:41:10 PM,41.683938508,-87.721792427,"(41.683938508, -87.721792427)"
